Test Case ID,Feature/Module,Test Scenario,Test Type,Preconditions,Test Steps,Expected Result,Actual Result,Status,Notes
AIRCRAFT-014,Aircraft Management,Update aircraft with missing data,Negative,User authenticated and aircraft exists,"1. Send PUT /aircraft/:id with empty body
2. Verify response",Returns 400 status with validation error,,,Implemented in aircraft.test.ts
AIRCRAFT-015,Aircraft Management,Update aircraft without authentication,Security,No authentication token,"1. Send PUT /aircraft/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in aircraft.test.ts
AIRCRAFT-016,Aircraft Management,Delete aircraft (admin),Positive,Admin authenticated and aircraft exists,"1. Send DELETE /aircraft/:id
2. Verify response",Returns 200 status with success message,,,Implemented in aircraft.test.ts
AIRCRAFT-017,Aircraft Management,Delete aircraft (supervisor),Positive,Supervisor authenticated and aircraft exists,"1. Send DELETE /aircraft/:id
2. Verify response",Returns 200 status with success message,,,Implemented in aircraft.test.ts
AIRCRAFT-018,Aircraft Management,Delete non-existent aircraft,Negative,User authenticated,"1. Send DELETE /aircraft/999999
2. Verify response",Returns 404 status,,,Implemented in aircraft.test.ts
AIRCRAFT-019,Aircraft Management,Delete aircraft with invalid ID format,Negative,User authenticated,"1. Send DELETE /aircraft/invalid
2. Verify response",Returns 400 status,,,Implemented in aircraft.test.ts
AIRCRAFT-020,Aircraft Management,Delete aircraft without authentication,Security,No authentication token,"1. Send DELETE /aircraft/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in aircraft.test.ts
,,,,,,,,,
TASK-001,Task Management,Get all tasks,Positive,User authenticated,"1. Send GET /tasks with auth token
2. Verify response",Returns 200 status with array of tasks,,,Implemented in tasks.test.ts
TASK-002,Task Management,Get task by valid ID,Positive,User authenticated and task exists,"1. Send GET /tasks/:id with valid ID
2. Verify response",Returns 200 status with task details,,,Implemented in tasks.test.ts
TASK-003,Task Management,Get non-existent task,Negative,User authenticated,"1. Send GET /tasks/999999
2. Verify response",Returns 404 status,,,Implemented in tasks.test.ts
TASK-004,Task Management,Get task with invalid ID format,Negative,User authenticated,"1. Send GET /tasks/invalid
2. Verify response",Returns 400 status,,,Implemented in tasks.test.ts
TASK-005,Task Management,Create task with all required fields (admin),Positive,Admin authenticated and aircraft exists,"1. Send POST /tasks with aircraft_id, shift, description, status, date
2. Verify response",Returns 201 status with task id,,,Implemented in tasks.test.ts
TASK-006,Task Management,Create task with all required fields (supervisor),Positive,Supervisor authenticated and aircraft exists,"1. Send POST /tasks with all fields
2. Verify response",Returns 201 status with task id,,,Implemented in tasks.test.ts
TASK-007,Task Management,Create task with missing description,Negative,User authenticated,"1. Send POST /tasks without description
2. Verify response",Returns 400 status with error message containing 'Description',,,Implemented in tasks.test.ts
TASK-008,Task Management,Create task with empty description,Negative,User authenticated,"1. Send POST /tasks with empty description
2. Verify response",Returns 400 status with error message containing 'Description',,,Implemented in tasks.test.ts
TASK-009,Task Management,Create task with missing date,Negative,User authenticated,"1. Send POST /tasks without date
2. Verify response",Returns 400 status with error message containing 'Date',,,Implemented in tasks.test.ts
TASK-010,Task Management,Create task with missing aircraft_id,Negative,User authenticated,"1. Send POST /tasks without aircraft_id
2. Verify response",Returns 400 status with error message containing 'Aircraft',,,Implemented in tasks.test.ts
TASK-011,Task Management,Create task with missing shift,Negative,User authenticated,"1. Send POST /tasks without shift
2. Verify response",Returns 400 status with error message containing 'Shift',,,Implemented in tasks.test.ts
TASK-012,Task Management,Create task with invalid shift value,Negative,User authenticated,"1. Send POST /tasks with shift='invalid-shift'
2. Verify response",Returns 400 status,,,Implemented in tasks.test.ts
TASK-013,Task Management,Create task with 1st shift,Positive,User authenticated,"1. Send POST /tasks with shift='1st'
2. Verify response",Returns 201 status,,,Implemented in tasks.test.ts
TASK-014,Task Management,Create task with 2nd shift,Positive,User authenticated,"1. Send POST /tasks with shift='2nd'
2. Verify response",Returns 201 status,,,Implemented in tasks.test.ts
TASK-015,Task Management,Create task with 3rd shift,Positive,User authenticated,"1. Send POST /tasks with shift='3rd'
2. Verify response",Returns 201 status,,,Implemented in tasks.test.ts
TASK-016,Task Management,Create task without authentication,Security,No authentication token,"1. Send POST /tasks without auth header
2. Verify response",Returns 401 status,,,Implemented in tasks.test.ts
TASK-017,Task Management,Create task with SQL injection in description,Security,User authenticated,"1. Send POST /tasks with malicious description
2. Verify response",Returns 201 (sanitized) or 400 (rejected),,,Implemented in tasks.test.ts
TASK-018,Task Management,Update task with valid data (admin),Positive,Admin authenticated and task exists,"1. Send PUT /tasks/:id with all fields
2. Verify response",Returns 200 status with success message,,,Implemented in tasks.test.ts
TASK-019,Task Management,Update task with valid data (supervisor),Positive,Supervisor authenticated and task exists,"1. Send PUT /tasks/:id with all fields
2. Verify response",Returns 200 status with success message,,,Implemented in tasks.test.ts
TASK-020,Task Management,Update non-existent task,Negative,User authenticated,"1. Send PUT /tasks/999999 with data
2. Verify response",Returns 404 status,,,Implemented in tasks.test.ts
TASK-021,Task Management,Update task with missing required fields,Negative,User authenticated,"1. Send PUT /tasks/:id with incomplete data
2. Verify response",Returns 400 status,,,Implemented in tasks.test.ts
TASK-022,Task Management,Update task without authentication,Security,No authentication token,"1. Send PUT /tasks/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in tasks.test.ts
TASK-023,Task Management,Delete task (admin),Positive,Admin authenticated and task exists,"1. Send DELETE /tasks/:id
2. Verify response",Returns 200 status with success message,,,Implemented in tasks.test.ts
TASK-024,Task Management,Delete task (supervisor),Positive,Supervisor authenticated and task exists,"1. Send DELETE /tasks/:id
2. Verify response",Returns 200 status with success message,,,Implemented in tasks.test.ts
TASK-025,Task Management,Delete non-existent task,Negative,User authenticated,"1. Send DELETE /tasks/999999
2. Verify response",Returns 404 status,,,Implemented in tasks.test.ts
TASK-026,Task Management,Delete task without authentication,Security,No authentication token,"1. Send DELETE /tasks/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in tasks.test.ts
,,,,,,,,,
PERSONNEL-001,Personnel Management,Get all personnel,Positive,User authenticated,"1. Send GET /personnel with auth token
2. Verify response",Returns 200 status with array of personnel,,,Implemented in personnel.test.ts
PERSONNEL-002,Personnel Management,Get personnel by 1st shift,Positive,User authenticated,"1. Send GET /personnel/shift/1st
2. Verify response",Returns 200 status with filtered personnel array,,,Implemented in personnel.test.ts
PERSONNEL-003,Personnel Management,Get personnel by 2nd shift,Positive,User authenticated,"1. Send GET /personnel/shift/2nd
2. Verify response",Returns 200 status with filtered personnel array,,,Implemented in personnel.test.ts
PERSONNEL-004,Personnel Management,Get personnel by 3rd shift,Positive,User authenticated,"1. Send GET /personnel/shift/3rd
2. Verify response",Returns 200 status with filtered personnel array,,,Implemented in personnel.test.ts
PERSONNEL-005,Personnel Management,Get personnel by ID,Positive,User authenticated and personnel exists,"1. Send GET /personnel/:id
2. Verify response",Returns 200 status with personnel details,,,Implemented in personnel.test.ts
PERSONNEL-006,Personnel Management,Get non-existent personnel,Negative,User authenticated,"1. Send GET /personnel/999999
2. Verify response",Returns 404 status,,,Implemented in personnel.test.ts
PERSONNEL-007,Personnel Management,Create personnel with all fields (admin),Positive,Admin authenticated,"1. Send POST /personnel with name, specialty, role, shift
2. Verify response",Returns 201 status with personnel id,,,Implemented in personnel.test.ts
PERSONNEL-008,Personnel Management,Create personnel with all fields (supervisor),Positive,Supervisor authenticated,"1. Send POST /personnel with all fields
2. Verify response",Returns 201 status with personnel id,,,Implemented in personnel.test.ts
PERSONNEL-009,Personnel Management,Create personnel with missing name,Negative,User authenticated,"1. Send POST /personnel without name
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-010,Personnel Management,Create personnel with missing specialty,Negative,User authenticated,"1. Send POST /personnel without specialty
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-011,Personnel Management,Create personnel with missing role,Negative,User authenticated,"1. Send POST /personnel without role
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-012,Personnel Management,Create personnel with missing shift,Negative,User authenticated,"1. Send POST /personnel without shift
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-013,Personnel Management,Create personnel with empty name,Negative,User authenticated,"1. Send POST /personnel with empty name
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-014,Personnel Management,Create personnel with invalid shift,Negative,User authenticated,"1. Send POST /personnel with shift='invalid'
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-015,Personnel Management,Create personnel for all valid shifts,Positive,User authenticated,"1. Create personnel with shift='1st', '2nd', '3rd'
2. Verify all responses",All return 201 status,,,Implemented in personnel.test.ts
PERSONNEL-016,Personnel Management,Create personnel with different roles,Positive,User authenticated,"1. Create personnel with various roles (Crew Chief, Technician, Inspector, Specialist)
2. Verify responses",All return 201 status,,,Implemented in personnel.test.ts
PERSONNEL-017,Personnel Management,Create personnel without authentication,Security,No authentication token,"1. Send POST /personnel without auth header
2. Verify response",Returns 401 status,,,Implemented in personnel.test.ts
PERSONNEL-018,Personnel Management,Create personnel with SQL injection,Security,User authenticated,"1. Send POST /personnel with malicious name
2. Verify response",Returns 201 (sanitized) or 400 (rejected),,,Implemented in personnel.test.ts
PERSONNEL-019,Personnel Management,Update personnel with valid data (admin),Positive,Admin authenticated and personnel exists,"1. Send PUT /personnel/:id with all fields
2. Verify response",Returns 200 status with success message,,,Implemented in personnel.test.ts
PERSONNEL-020,Personnel Management,Update personnel with valid data (supervisor),Positive,Supervisor authenticated and personnel exists,"1. Send PUT /personnel/:id with all fields
2. Verify response",Returns 200 status with success message,,,Implemented in personnel.test.ts
PERSONNEL-021,Personnel Management,Update non-existent personnel,Negative,User authenticated,"1. Send PUT /personnel/999999 with data
2. Verify response",Returns 404 status,,,Implemented in personnel.test.ts
PERSONNEL-022,Personnel Management,Update personnel with missing fields,Negative,User authenticated,"1. Send PUT /personnel/:id with incomplete data
2. Verify response",Returns 400 status,,,Implemented in personnel.test.ts
PERSONNEL-023,Personnel Management,Update personnel without authentication,Security,No authentication token,"1. Send PUT /personnel/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in personnel.test.ts
PERSONNEL-024,Personnel Management,Delete personnel (admin),Positive,Admin authenticated and personnel exists,"1. Send DELETE /personnel/:id
2. Verify response",Returns 200 status with success message,,,Implemented in personnel.test.ts
PERSONNEL-025,Personnel Management,Delete personnel (supervisor),Positive,Supervisor authenticated and personnel exists,"1. Send DELETE /personnel/:id
2. Verify response",Returns 200 status with success message,,,Implemented in personnel.test.ts
PERSONNEL-026,Personnel Management,Delete non-existent personnel,Negative,User authenticated,"1. Send DELETE /personnel/999999
2. Verify response",Returns 404 status,,,Implemented in personnel.test.ts
PERSONNEL-027,Personnel Management,Delete personnel without authentication,Security,No authentication token,"1. Send DELETE /personnel/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in personnel.test.ts
,,,,,,,,,
ASSIGNMENT-001,Assignment Management,Get all assignments,Positive,User authenticated,"1. Send GET /assignments with auth token
2. Verify response",Returns 200 status with array of assignments,,,Implemented in assignments.test.ts
ASSIGNMENT-002,Assignment Management,Get assignments by task ID,Positive,User authenticated and task exists,"1. Send GET /assignments/task/:taskId
2. Verify response",Returns 200 status with task_id and lines array,,,Implemented in assignments.test.ts
ASSIGNMENT-003,Assignment Management,Get assignments by personnel ID,Positive,User authenticated and personnel exists,"1. Send GET /assignments/personnel/:personnelId
2. Verify response",Returns 200 status with assignments array,,,Implemented in assignments.test.ts
ASSIGNMENT-004,Assignment Management,Create assignment with valid data,Positive,User authenticated with task and personnel IDs,"1. Send POST /assignments with task_id and lines array
2. Verify response",Returns 201 status with ids array,,,Implemented in assignments.test.ts
ASSIGNMENT-005,Assignment Management,Create assignment without task_id,Negative,User authenticated,"1. Send POST /assignments without task_id
2. Verify response",Returns 400 status,,,Implemented in assignments.test.ts
ASSIGNMENT-006,Assignment Management,Create assignment without lines array,Negative,User authenticated,"1. Send POST /assignments without lines
2. Verify response",Returns 400 status,,,Implemented in assignments.test.ts
ASSIGNMENT-007,Assignment Management,Create assignment without authentication,Security,No authentication token,"1. Send POST /assignments without auth header
2. Verify response",Returns 401 status,,,Implemented in assignments.test.ts
ASSIGNMENT-008,Assignment Management,Delete assignment by ID,Positive,User authenticated and assignment exists,"1. Send DELETE /assignments/:id
2. Verify response",Returns 200 status with success message,,,Implemented in assignments.test.ts
ASSIGNMENT-009,Assignment Management,Delete non-existent assignment,Negative,User authenticated,"1. Send DELETE /assignments/999999
2. Verify response",Returns 404 status,,,Implemented in assignments.test.ts
ASSIGNMENT-010,Assignment Management,Delete all assignments for personnel,Positive,User authenticated and personnel has assignments,"1. Send DELETE /assignments/personnel/:personnelId
2. Verify response",Returns 200 status with message showing count,,,Implemented in assignments.test.ts
ASSIGNMENT-011,Assignment Management,Delete assignments without authentication,Security,No authentication token,"1. Send DELETE /assignments/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in assignments.test.ts
,,,,,,,,,
TRAINING-001,Training Management,Get all training records,Positive,User authenticated,"1. Send GET /training with auth token
2. Verify response",Returns 200 status with array of training records,,,Implemented in training.test.ts
TRAINING-002,Training Management,Get training statistics,Positive,User authenticated,"1. Send GET /training/stats
2. Verify response",Returns 200 status with statistics object,,,Implemented in training.test.ts
TRAINING-003,Training Management,Get training by ID,Positive,User authenticated and training exists,"1. Send GET /training/:id
2. Verify response",Returns 200 status with training details,,,Implemented in training.test.ts
TRAINING-004,Training Management,Get non-existent training,Negative,User authenticated,"1. Send GET /training/999999
2. Verify response",Returns 404 status,,,Implemented in training.test.ts
TRAINING-005,Training Management,Get training by personnel ID,Positive,User authenticated and personnel exists,"1. Send GET /training/personnel/:personnelId
2. Verify response",Returns 200 status with training array,,,Implemented in training.test.ts
TRAINING-006,Training Management,Create training with valid data,Positive,User authenticated and personnel exists,"1. Send POST /training with personnel_id, phase, progress, complete
2. Verify response",Returns 201 status with training id,,,Implemented in training.test.ts
TRAINING-007,Training Management,Create training without personnel_id,Negative,User authenticated,"1. Send POST /training without personnel_id
2. Verify response",Returns 400 status,,,Implemented in training.test.ts
TRAINING-008,Training Management,Create training without phase,Negative,User authenticated,"1. Send POST /training without phase
2. Verify response",Returns 400 status,,,Implemented in training.test.ts
TRAINING-009,Training Management,Create training for all phases,Positive,User authenticated,"1. Create training for Phase 1-5
2. Verify all responses",All return 201 status,,,Implemented in training.test.ts
TRAINING-010,Training Management,Create training without authentication,Security,No authentication token,"1. Send POST /training without auth header
2. Verify response",Returns 401 status,,,Implemented in training.test.ts
TRAINING-011,Training Management,Update training progress,Positive,User authenticated and training exists,"1. Send PUT /training/:id with updated progress
2. Verify response",Returns 200 status,,,Implemented in training.test.ts
TRAINING-012,Training Management,Update training to complete,Positive,User authenticated and training exists,"1. Send PUT /training/:id with complete=true, progress=100
2. Verify response",Returns 200 status,,,Implemented in training.test.ts
TRAINING-013,Training Management,Update non-existent training,Negative,User authenticated,"1. Send PUT /training/999999 with data
2. Verify response",Returns 404 status,,,Implemented in training.test.ts
TRAINING-014,Training Management,Update training without authentication,Security,No authentication token,"1. Send PUT /training/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in training.test.ts
TRAINING-015,Training Management,Delete training record,Positive,User authenticated and training exists,"1. Send DELETE /training/:id
2. Verify response",Returns 200 status with success message,,,Implemented in training.test.ts
TRAINING-016,Training Management,Delete non-existent training,Negative,User authenticated,"1. Send DELETE /training/999999
2. Verify response",Returns 404 status,,,Implemented in training.test.ts
TRAINING-017,Training Management,Delete training without authentication,Security,No authentication token,"1. Send DELETE /training/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in training.test.ts
,,,,,,,,,
USER-001,User Management,Get all users (admin),Positive,Admin authenticated,"1. Send GET /users with admin token
2. Verify response",Returns 200 status with users array,,,Implemented in users.test.ts
USER-002,User Management,Get all users (supervisor),Positive,Supervisor authenticated,"1. Send GET /users with supervisor token
2. Verify response",Returns 200 status with users array,,,Implemented in users.test.ts
USER-003,User Management,Get users without authentication,Security,No authentication token,"1. Send GET /users without auth header
2. Verify response",Returns 401 status,,,Implemented in users.test.ts
USER-004,User Management,Create user (admin),Positive,Admin authenticated,"1. Send POST /users with username, email, password, role
2. Verify response",Returns 201 status with user id,,,Implemented in users.test.ts
USER-005,User Management,Create user (supervisor),Positive,Supervisor authenticated,"1. Send POST /users with all fields
2. Verify response",Returns 201 status with user id,,,Implemented in users.test.ts
USER-006,User Management,Create user without username,Negative,Admin authenticated,"1. Send POST /users without username
2. Verify response",Returns 400 status,,,Implemented in users.test.ts
USER-007,User Management,Create user without password,Negative,Admin authenticated,"1. Send POST /users without password
2. Verify response",Returns 400 status,,,Implemented in users.test.ts
USER-008,User Management,Create user with invalid email,Negative,Admin authenticated,"1. Send POST /users with invalid email format
2. Verify response",Returns 400 status,,,Implemented in users.test.ts
USER-009,User Management,Create user without authentication,Security,No authentication token,"1. Send POST /users without auth header
2. Verify response",Returns 401 status,,,Implemented in users.test.ts
USER-010,User Management,Create user with SQL injection,Security,Admin authenticated,"1. Send POST /users with malicious username
2. Verify response",Returns 201 (sanitized) or 400 (rejected),,,Implemented in users.test.ts
USER-011,User Management,Get user by ID,Positive,Admin authenticated and user exists,"1. Send GET /users/:id
2. Verify response",Returns 200 status with user details,,,Implemented in users.test.ts
USER-012,User Management,Get non-existent user,Negative,Admin authenticated,"1. Send GET /users/999999
2. Verify response",Returns 404 status,,,Implemented in users.test.ts
USER-013,User Management,Get user without authentication,Security,No authentication token,"1. Send GET /users/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in users.test.ts
USER-014,User Management,Update user (admin),Positive,Admin authenticated and user exists,"1. Send PUT /users/:id with updated fields
2. Verify response",Returns 200 status,,,Implemented in users.test.ts
USER-015,User Management,Update non-existent user,Negative,Admin authenticated,"1. Send PUT /users/999999 with data
2. Verify response",Returns 404 status,,,Implemented in users.test.ts
USER-016,User Management,Update user without authentication,Security,No authentication token,"1. Send PUT /users/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in users.test.ts
USER-017,User Management,Delete user (admin),Positive,Admin authenticated and user exists,"1. Send DELETE /users/:id
2. Verify response",Returns 200 status with success message,,,Implemented in users.test.ts
USER-018,User Management,Delete user (supervisor),Positive,Supervisor authenticated and user exists,"1. Send DELETE /users/:id
2. Verify response",Returns 200 status with success message,,,Implemented in users.test.ts
USER-019,User Management,Delete non-existent user,Negative,Admin authenticated,"1. Send DELETE /users/999999
2. Verify response",Returns 404 status,,,Implemented in users.test.ts
USER-020,User Management,Delete user without authentication,Security,No authentication token,"1. Send DELETE /users/:id without auth header
2. Verify response",Returns 401 status,,,Implemented in users.test.ts
,,,,,,,,,
PERF-001,Performance Testing,Handle multiple concurrent GET requests,Performance,System running,"1. Send 10 concurrent GET /aircraft requests
2. Measure response times",All requests return 200 status within acceptable time,,,Implemented in performance.test.ts
PERF-002,Performance Testing,Handle concurrent requests from different users,Performance,Multiple users authenticated,"1. Send concurrent requests from admin and supervisor
2. Verify all responses",All requests return 200 status,,,Implemented in performance.test.ts
PERF-003,Performance Testing,Bulk aircraft creation,Performance,Admin authenticated,"1. Create 5 aircraft concurrently
2. Measure total duration",All created successfully within 5 seconds,,,Implemented in performance.test.ts
PERF-004,Performance Testing,Bulk task creation,Performance,Admin authenticated with aircraft,"1. Create 5 tasks concurrently
2. Measure total duration",All created successfully within 5 seconds,,,Implemented in performance.test.ts
PERF-005,Performance Testing,Dashboard stats load time,Performance,User authenticated with data,"1. Request GET /dashboard/stats
2. Measure response time",Returns within 3 seconds,,,Implemented in performance.test.ts
PERF-006,Performance Testing,Concurrent dashboard requests,Performance,Multiple users authenticated,"1. Send 5 concurrent dashboard requests
2. Verify all responses",All return 200 status with data,,,Implemented in performance.test.ts
PERF-007,Performance Testing,Filter personnel by shift,Performance,User authenticated with personnel data,"1. Request GET /personnel/shift/1st
2. Verify response",Returns filtered results efficiently,,,Implemented in performance.test.ts
PERF-008,Performance Testing,GET aircraft response time,Performance,User authenticated,"1. Request GET /aircraft
2. Measure response time",Returns within 1 second,,,Implemented in performance.test.ts
PERF-009,Performance Testing,GET tasks response time,Performance,User authenticated,"1. Request GET /tasks
2. Measure response time",Returns within 1 second,,,Implemented in performance.test.ts
PERF-010,Performance Testing,GET personnel response time,Performance,User authenticated,"1. Request GET /personnel
2. Measure response time",Returns within 1 second,,,Implemented in performance.test.ts
PERF-011,Performance Testing,Manual archive operation time,Performance,Admin authenticated,"1. Send POST /archive-schedule/manual
2. Measure duration",Completes within 10 seconds,,,Implemented in performance.test.ts
PERF-012,Performance Testing,Archive logs retrieval time,Performance,User authenticated,"1. Request GET /archive-schedule/logs
2. Measure response time",Returns within 2 seconds,,,Implemented in performance.test.ts
PERF-013,Performance Testing,Memory leak test with repeated requests,Performance,System running,"1. Make 20 rapid consecutive requests
2. Monitor for memory leaks",No timeout or performance degradation,,,Implemented in performance.test.ts
PERF-014,Performance Testing,Sequential request performance,Performance,User authenticated,"1. Make 10 sequential requests
2. Compare early vs late request times",Later requests not significantly slower (< 50% slower),,,Implemented in performance.test.ts
,,,,,,,,,
ARCHIVE-001,Archive System,Get all archive schedules,Positive,Manager/Supervisor authenticated,"1. Send GET /archive-schedule/schedules
2. Verify response",Returns 200 status with schedules array,,,Implemented in archive.test.ts
ARCHIVE-002,Archive System,Get schedule by ID,Positive,Manager/Supervisor authenticated,"1. Send GET /archive-schedule/schedules/:id
2. Verify response",Returns 200 status with schedule details,,,Implemented in archive.test.ts
ARCHIVE-003,Archive System,Create archive schedule with valid data,Positive,Manager/Supervisor authenticated,"1. Send POST /archive-schedule/schedules with shift, frequency, timezone
2. Verify response",Returns 201 status with schedule id,,,Implemented in archive.test.ts
ARCHIVE-004,Archive System,Create schedule without required fields,Negative,Manager/Supervisor authenticated,"1. Send POST /archive-schedule/schedules with missing data
2. Verify response",Returns 400 status,,,Implemented in archive.test.ts
ARCHIVE-005,Archive System,Create schedule with invalid shift,Negative,Manager/Supervisor authenticated,"1. Send POST /archive-schedule/schedules with invalid shift
2. Verify response",Returns 400 status,,,Implemented in archive.test.ts
ARCHIVE-006,Archive System,Update archive schedule,Positive,Manager/Supervisor authenticated,"1. Send PUT /archive-schedule/schedules/:id with data
2. Verify response",Returns 200 status,,,Implemented in archive.test.ts
ARCHIVE-007,Archive System,Delete archive schedule,Positive,Manager/Supervisor authenticated,"1. Send DELETE /archive-schedule/schedules/:id
2. Verify response",Returns 200 status,,,Implemented in archive.test.ts
ARCHIVE-008,Archive System,Manual archive operation,Positive,Manager/Supervisor authenticated,"1. Send POST /archive-schedule/manual with shift
2. Verify response",Returns 200/201 status,,,Implemented in archive.test.ts
ARCHIVE-009,Archive System,Get archived assignments,Positive,User authenticated,"1. Send GET /archive-schedule/archived-assignments
2. Verify response",Returns 200 status with archived data,,,Implemented in archive.test.ts
,,,,,,,,,
========================================,,,,,,,,,
HOW TO RUN THE TEST CASES - INSTRUCTIONS,,,,,,,,,
========================================,,,,,,,,,
,,,,,,,,,
Section,Instruction Details,,,,,,,,
Prerequisites - Software,"1. Node.js (v14 or higher) installed
2. npm or yarn package manager
3. MySQL database server running
4. Git for version control
5. VS Code or terminal access",,,,,,,,
,,,,,,,,,
Prerequisites - Database Setup,"1. Ensure MySQL server is running
2. Create test database (if separate from dev)
3. Run database migrations/schema setup
4. Ensure database connection settings in .env or config files are correct
5. Test database should have proper permissions",,,,,,,,
,,,,,,,,,
Prerequisites - Environment Setup,"1. Navigate to TaskforceAPI directory: cd TaskforceAPI
2. Install dependencies: npm install
3. Verify .env file has correct database credentials
4. Ensure test user accounts exist in database (admin, supervisor, guest)
5. Check that all required environment variables are set",,,,,,,,
,,,,,,,,,
Running All Tests,"1. Open terminal in TaskforceAPI directory
2. Run command: npm test
3. Jest will execute all test files in /tests directory
4. View summary showing passed/failed tests and coverage
5. Review any errors in terminal output",,,,,,,,
,,,,,,,,,
Running Specific Test File,"1. Open terminal in TaskforceAPI directory
2. Run command: npm test <filename>
   Examples:
   - npm test aircraft.test.ts
   - npm test tasks.test.ts
   - npm test personnel.test.ts
3. View results for only that test file",,,,,,,,
,,,,,,,,,
